pop size, iterations, tournament, min
2,5000,2,57.86919576887738
5,2000,2,8.170881777716156
10,1000,2,6.14423651913847
20,500,2,5.973277372229432
50,200,2,8.617269256869758
100,100,2,11.514930563910792
200,50,2,14.856255450463062
500,20,2,24.418971300894
1000,10,2,34.929844245190694
2000,5,2,47.81679512957891
5000,2,2,59.80821678626086
2,5000,5,56.25557424420247
5,2000,5,6.203178049316132
10,1000,5,3.2934886215879238
20,500,5,2.892787531827943
50,200,5,2.664045808329171
100,100,5,2.7895255800525645
200,50,5,3.068910564542228
500,20,5,4.574244790174099
1000,10,5,11.286071122452734
2000,5,5,25.43679140622304
5000,2,5,45.5465943433762
2,5000,10,57.46769677859011
5,2000,10,5.499808261149684
10,1000,10,3.580782081654606
20,500,10,2.969471472746782
50,200,10,2.6925817814892405
100,100,10,2.764515216670394
200,50,10,2.8719361884073478
500,20,10,3.232843733758952
1000,10,10,5.7707733104947865
2000,5,10,15.61488933591208
5000,2,10,38.103346698536896
2,5000,20,57.0152390560266
5,2000,20,5.874662575575129
10,1000,20,3.411987992965215
20,500,20,3.2505565980384628
50,200,20,2.9027387957134634
100,100,20,2.878056333422316
200,50,20,2.768974587891373
500,20,20,3.1184745776442644
1000,10,20,4.081276282830752
2000,5,20,10.911107442847717
5000,2,20,31.99893594478515
2,5000,50,58.10037409120464
5,2000,50,6.020128632327229
10,1000,50,3.3111942772460248
20,500,50,3.0927399300069625
50,200,50,3.0182153935933917
100,100,50,2.546659208794606
200,50,50,3.0357773116399067
500,20,50,3.3877648493380237
1000,10,50,4.073599571861577
2000,5,50,7.694989085734352
5000,2,50,25.16715011771254
