pop size, iterations, tournament, min
2,5000,2,67.90123618098215
5,2000,2,27.120792934104937
10,1000,2,24.771098107750174
20,500,2,25.638352746242752
50,200,2,31.29590027894941
100,100,2,42.557475804251915
200,50,2,52.30197501344086
500,20,2,56.21989134522643
1000,10,2,61.39458245178216
2000,5,2,61.54111107647073
5000,2,2,64.07793981824413
2,5000,5,65.93861272119197
5,2000,5,19.356528177609153
10,1000,5,13.480559388059767
20,500,5,9.269565747590994
50,200,5,11.261755358275794
100,100,5,12.077296007398113
200,50,5,16.77509226125825
500,20,5,24.348481108490937
1000,10,5,34.573844435311884
2000,5,5,46.12990573174034
5000,2,5,57.13930105533668
2,5000,10,62.12898106027208
5,2000,10,17.147839344424312
10,1000,10,9.78905119632111
20,500,10,6.858875239820936
50,200,10,8.306731602496267
100,100,10,8.081696937804333
200,50,10,8.519355397743288
500,20,10,11.511499575083954
1000,10,10,18.37928966672194
2000,5,10,33.18403226891312
5000,2,10,50.602418973407495
2,5000,20,65.34810987729408
5,2000,20,17.87401857572328
10,1000,20,9.517595683444053
20,500,20,7.2907729633756
50,200,20,7.226686150600068
100,100,20,7.2035395945103415
200,50,20,8.041382822309181
500,20,20,9.333873542379612
1000,10,20,13.055859415501262
2000,5,20,24.7808431617186
5000,2,20,42.52883611294387
2,5000,50,64.06550754190523
5,2000,50,17.45307686864555
10,1000,50,9.122214797389718
20,500,50,7.554565539507027
50,200,50,7.334153688514588
100,100,50,7.6008611004735
200,50,50,7.718114958746079
500,20,50,8.286457114529515
1000,10,50,10.793686137015964
2000,5,50,18.3045690638483
5000,2,50,36.503019965235964
0,38.85592674489744
1,39.88049969593028
2,36.25387723313504
3,34.95821533802914
4,27.40822800280681
5,37.79789419612672
6,42.790390181972654
7,43.547122889776986
8,41.34824886313854
9,34.17726607777778
10,22.49703609713036
11,47.53194005253978
12,42.15494007622806
13,26.616233544952486
14,18.813770867739176
15,43.03147636064559
16,41.90867934475828
17,43.54306936878925
18,32.76521140603809
19,41.097243164689885
20,34.80876881523254
21,38.54119279548664
22,42.77688582921989
23,43.13084626438307
24,39.157617886919056
25,32.416823102468285
26,45.0581570541445
27,34.326964995727245
28,31.655454506253847
29,42.31121871460286
